"State Statistics and Loadings"
"Search Criteria:  Reporting year = 2018"

"EPA Region","State","# of Majors in ICIS-NPDES","# of Non-Majors in ICIS-NPDES","# of Majors w/ Pollutant Loadings","# of Non-Majors w/ Pollutant Loadings","% of Majors w/ Pollutant Loadings","% of Non-Majors w/ Pollutant Loadings","Total Pollutant Pounds (lb/yr) for Majors","Total Pollutant Pounds (lb/yr) for Non-Majors","Total Toxic-Weighted Pounds (lb-eq/yr) for Majors","Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors"
"01","NEW HAMPSHIRE",48,33,48,33,100,100,180531691.021484600199301694255837701775,776714.6952991447536472657161158454545454,19665.6066155767073792008841412252847291,771.239836064983864207041356879455732759
"02","NEW JERSEY",135,350,134,316,99.25925925925925925925925925925925925926,90.28571428571428571428571428571428571429,332260752.907336262656334863636363636365,17467906.0138602489587828315220731378006,241512.4003777305650138529199068278556819,8212.199356021835692907813489719313202137
"06","NEW MEXICO",34,90,32,85,94.11764705882352941176470588235294117647,94.44444444444444444444444444444444444444,33275503.07163262464650381420114086363636,7462145.17985819837198357890138119204204,33064824.37405529665764026392766475094776,493.869608285977369324136962652572239
"02","NEW YORK",320,1232,315,1041,98.4375,84.49675324675324675324675324675324675325,1109154460.214468284925431119841501441919,271476875.574340168318674031445690607159,1960322.75371911369867099435806291335338,61607.1027268875610870406431076055428559
"04","NORTH CAROLINA",226,1206,217,898,96.01769911504424778761061946902654867257,74.46102819237147595356550580431177446103,177448106.659144288037825520628093226205,52648501808.1008415684681633008728365161,54686.8765415420610217716519047796977063,1151520.59175836473424241577061176394305
"08","NORTH DAKOTA",24,84,24,80,100,95.23809523809523809523809523809523809524,142130798.873262801242369904258490909091,71303216.06552317749179778696830513270254,114635.4851860864824841265492179531118182,6265.039759093358152090084673929011071535
"05","OHIO",290,3087,289,3003,99.65517241379310344827586206896551724138,97.27891156462585034013605442176870748299,14098367068.3167632133323435474629945461,1650831790.297628367790251717984338896956,511411.0649475573497923564226825372624669,97265.1099929742036790427415256032593169
"06","OKLAHOMA",105,369,103,368,98.0952380952380952380952380952380952381,99.72899728997289972899728997289972899729,384663092.587426048854383295363732613635,865235305.836223015004480853014165373886,178463.5844224307927459003548904006182084,31960.7155588821354401879211534135376045
"10","OREGON",73,280,65,169,89.04109589041095890410958904109589041096,60.35714285714285714285714285714285714286,135237215.4258829773166110557641251,5829549.97704703162761141881434489694046,21972.2301052439966124088131700560757197,2185.258054503406685073150842787933869852
"03","PENNSYLVANIA",407,5809,401,2741,98.52579852579852579852579852579852579853,47.18540196247202616629368221724909622999,3923288313.739605166997384837928281327169,2846496263.018747408708485258780039320578,81466609516.6359624675533701410545433253,906871.8351855529771169567639771846299169
"02","PUERTO RICO",71,153,69,149,97.18309859154929577464788732394366197183,97.38562091503267973856209150326797385621,836595913.387809702293034839821115087881,265214933.182309702716185135454545454547,225549.9012170986787476476852326104424876,19780.8080838544963125340367336183181818
"01","RHODE ISLAND",23,49,23,42,100,85.71428571428571428571428571428571428571,18544400.61976185660507023104811157238637,4561567.03210896396143215454513822413501,46609.2220227457641630799584675376466046,1916.990382738078126804892002529566435149
"04","SOUTH CAROLINA",162,238,161,228,99.38271604938271604938271604938271604938,95.79831932773109243697478991596638655462,146348242.454564869250637011080798382255,4099829.37897226413700489129116825745454,1604820957.434464360705009278997904554186,6293.632041978578567822921627740757184665
"08","SOUTH DAKOTA",24,231,24,210,100,90.90909090909090909090909090909090909091,23811533.03081482811322033241472727272727,28634264.59405445108326092158346776837748,6346.149751899188828032038535521310909091,3268.436211417520829689740044522901032664
